epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,659.002,1.22859,0.81305,1.67779,0.83898,0.81176,0.84967,0.46814,1.57687,0.87631,2.11005,0.00032685,0.00032685,0.00032685
81,666.718,1.20822,0.78377,1.66611,0.84488,0.80522,0.83829,0.46724,1.58061,0.87683,2.1184,0.000312,0.000312,0.000312
82,674.491,1.20265,0.7821,1.67364,0.84228,0.81554,0.84302,0.4665,1.60717,0.87953,2.14352,0.00029715,0.00029715,0.00029715
83,682.202,1.20909,0.78848,1.66616,0.86499,0.81269,0.84233,0.46891,1.58559,0.86317,2.12138,0.0002823,0.0002823,0.0002823
84,689.914,1.19544,0.78838,1.65463,0.85704,0.80551,0.83579,0.47049,1.58635,0.85443,2.13124,0.00026745,0.00026745,0.00026745
85,697.616,1.18734,0.77287,1.65919,0.84261,0.80844,0.83509,0.46891,1.61598,0.88757,2.14561,0.0002526,0.0002526,0.0002526
86,705.207,1.20819,0.78477,1.66833,0.83,0.8201,0.84451,0.46935,1.60843,0.85256,2.15934,0.00023775,0.00023775,0.00023775
87,712.905,1.19289,0.78146,1.64469,0.85847,0.79226,0.83229,0.46587,1.57376,0.86613,2.11287,0.0002229,0.0002229,0.0002229
88,720.555,1.19723,0.77057,1.65307,0.85093,0.81549,0.84005,0.46848,1.59498,0.86691,2.1502,0.00020805,0.00020805,0.00020805
89,728.363,1.21406,0.78159,1.66932,0.8706,0.80189,0.84374,0.47097,1.57093,0.83926,2.11284,0.0001932,0.0001932,0.0001932
90,735.941,1.16204,0.75594,1.63838,0.83453,0.81381,0.83418,0.46671,1.61793,0.87204,2.15987,0.00017835,0.00017835,0.00017835
91,744.792,1.11762,0.63208,1.63954,0.8585,0.80257,0.84354,0.47237,1.56325,0.84472,2.11082,0.0001635,0.0001635,0.0001635
92,752.504,1.09991,0.61607,1.63702,0.84542,0.82294,0.84085,0.46752,1.60061,0.84955,2.17172,0.00014865,0.00014865,0.00014865
93,760.005,1.07672,0.60641,1.61855,0.86665,0.7979,0.84093,0.46372,1.58889,0.84228,2.15611,0.0001338,0.0001338,0.0001338
94,767.803,1.0835,0.60426,1.61368,0.8694,0.80116,0.84421,0.47491,1.58711,0.82909,2.15344,0.00011895,0.00011895,0.00011895
95,775.382,1.06018,0.58419,1.59101,0.8689,0.80988,0.84582,0.47205,1.57922,0.84431,2.14763,0.0001041,0.0001041,0.0001041
96,782.9,1.04843,0.58247,1.58486,0.86465,0.80993,0.84131,0.47049,1.59192,0.8374,2.15619,8.925e-05,8.925e-05,8.925e-05
97,790.455,1.05349,0.58523,1.59233,0.8651,0.807,0.84107,0.46807,1.58561,0.83895,2.15516,7.44e-05,7.44e-05,7.44e-05
98,798.276,1.04737,0.57933,1.58007,0.87254,0.8087,0.83944,0.46843,1.58548,0.83378,2.15456,5.955e-05,5.955e-05,5.955e-05
99,805.753,1.04508,0.57976,1.58377,0.87718,0.80375,0.84263,0.46868,1.5834,0.83616,2.16081,4.47e-05,4.47e-05,4.47e-05
100,813.374,1.04167,0.57297,1.58023,0.88024,0.80825,0.84475,0.46582,1.57913,0.82595,2.15346,2.985e-05,2.985e-05,2.985e-05
