epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,543.33,1.18435,0.70292,1.34877,0.85064,0.79559,0.84723,0.47346,1.52079,0.76883,1.77002,0.0003714,0.0003714,0.0003714
78,550.055,1.15814,0.69298,1.34537,0.86366,0.80346,0.84229,0.46669,1.53987,0.78051,1.78386,0.00035655,0.00035655,0.00035655
79,556.76,1.14675,0.67535,1.3299,0.87905,0.81092,0.84468,0.47379,1.55633,0.7659,1.80753,0.0003417,0.0003417,0.0003417
80,563.398,1.15484,0.70138,1.32723,0.84637,0.81389,0.83546,0.47033,1.54691,0.76524,1.80258,0.00032685,0.00032685,0.00032685
81,569.997,1.13432,0.65701,1.31873,0.88402,0.8085,0.84213,0.47119,1.53424,0.76875,1.80712,0.000312,0.000312,0.000312
82,576.759,1.12842,0.66429,1.31963,0.86861,0.8079,0.8432,0.46928,1.55764,0.76132,1.81652,0.00029715,0.00029715,0.00029715
83,583.478,1.13257,0.66483,1.3086,0.86501,0.79724,0.84242,0.47352,1.5524,0.77164,1.81537,0.0002823,0.0002823,0.0002823
84,590.069,1.12043,0.66146,1.31572,0.87829,0.80544,0.84884,0.47728,1.51849,0.75716,1.79492,0.00026745,0.00026745,0.00026745
85,596.842,1.11688,0.65488,1.32337,0.87937,0.80758,0.84695,0.47757,1.53854,0.74592,1.81875,0.0002526,0.0002526,0.0002526
86,603.155,1.12906,0.65924,1.31948,0.86615,0.81115,0.84867,0.46968,1.56727,0.75792,1.85438,0.00023775,0.00023775,0.00023775
87,608.821,1.1197,0.66439,1.30818,0.88156,0.79582,0.84935,0.47557,1.54059,0.74386,1.80693,0.0002229,0.0002229,0.0002229
88,614.456,1.1232,0.65562,1.30873,0.86321,0.80082,0.84239,0.46703,1.57744,0.74891,1.84329,0.00020805,0.00020805,0.00020805
89,620.14,1.13228,0.66151,1.3186,0.87146,0.80584,0.84334,0.46886,1.55459,0.75149,1.83257,0.0001932,0.0001932,0.0001932
90,626.008,1.09647,0.64208,1.30577,0.87427,0.79278,0.8442,0.47489,1.5447,0.75434,1.81736,0.00017835,0.00017835,0.00017835
91,633.972,1.06373,0.54842,1.33269,0.88865,0.79515,0.84921,0.47705,1.53442,0.74923,1.81412,0.0001635,0.0001635,0.0001635
92,640.619,1.03734,0.53368,1.32676,0.89216,0.7967,0.8514,0.47949,1.55096,0.7589,1.83491,0.00014865,0.00014865,0.00014865
93,648.02,1.04115,0.5324,1.32676,0.86194,0.81511,0.84414,0.47434,1.54395,0.75064,1.82882,0.0001338,0.0001338,0.0001338
94,655.368,1.03544,0.5269,1.32436,0.86869,0.79935,0.84581,0.47249,1.54366,0.74941,1.82587,0.00011895,0.00011895,0.00011895
95,663.015,1.01662,0.51453,1.29659,0.8659,0.79411,0.8435,0.47331,1.53473,0.76349,1.81973,0.0001041,0.0001041,0.0001041
96,670.112,1.01071,0.51129,1.30454,0.85435,0.81292,0.84754,0.47743,1.54237,0.75914,1.83109,8.925e-05,8.925e-05,8.925e-05
97,676.31,1.0127,0.51442,1.30043,0.85603,0.81011,0.84511,0.47568,1.54208,0.74727,1.83072,7.44e-05,7.44e-05,7.44e-05
98,682.45,0.9978,0.50609,1.29122,0.85788,0.81765,0.84435,0.4743,1.54466,0.74565,1.84264,5.955e-05,5.955e-05,5.955e-05
99,688.559,1.00106,0.51019,1.29734,0.85735,0.82038,0.84347,0.47541,1.53446,0.74753,1.82849,4.47e-05,4.47e-05,4.47e-05
100,695.793,1.00583,0.50029,1.29727,0.86362,0.81863,0.84633,0.47626,1.53715,0.75246,1.83124,2.985e-05,2.985e-05,2.985e-05
