model,split,threshold,gt,predictions,tp,fp,fn,precision,recall,f1,tiny_tp,tiny_fn,tiny_recall,small_tp,small_fn,small_recall,tiny_small_tp,tiny_small_fn,tiny_small_recall,medium_large_recall
baseline,test,0.38,840,834,714,120,126,0.8561151079136691,0.85,0.8530465949820788,21,8,0.7241379310344828,85,29,0.7456140350877193,106,37,0.7412587412587412,0.8723098995695839
baseline,test,0.39,840,830,713,117,127,0.8590361445783132,0.8488095238095238,0.8538922155688623,21,8,0.7241379310344828,85,29,0.7456140350877193,106,37,0.7412587412587412,0.8708751793400287
baseline,test,0.4,840,823,711,112,129,0.8639125151883353,0.8464285714285714,0.8550811785929044,21,8,0.7241379310344828,85,29,0.7456140350877193,106,37,0.7412587412587412,0.8680057388809183
baseline,test,0.41,840,818,710,108,130,0.8679706601466992,0.8452380952380952,0.8564535585042218,20,9,0.6896551724137931,85,29,0.7456140350877193,105,38,0.7342657342657343,0.8680057388809183
baseline,test,0.42,840,809,708,101,132,0.8751545117428925,0.8428571428571429,0.8587022437841116,20,9,0.6896551724137931,85,29,0.7456140350877193,105,38,0.7342657342657343,0.8651362984218077
baseline,test,0.43,840,807,706,101,134,0.8748451053283767,0.8404761904761905,0.8573163327261688,20,9,0.6896551724137931,85,29,0.7456140350877193,105,38,0.7342657342657343,0.8622668579626973
baseline,test,0.44,840,798,703,95,137,0.8809523809523809,0.8369047619047619,0.8583638583638583,20,9,0.6896551724137931,85,29,0.7456140350877193,105,38,0.7342657342657343,0.8579626972740315
baseline,test,0.45,840,795,701,94,139,0.8817610062893082,0.8345238095238096,0.8574923547400611,20,9,0.6896551724137931,85,29,0.7456140350877193,105,38,0.7342657342657343,0.8550932568149211
baseline,test,0.46,840,788,699,89,141,0.8870558375634517,0.8321428571428572,0.8587223587223588,20,9,0.6896551724137931,84,30,0.7368421052631579,104,39,0.7272727272727273,0.8536585365853658
baseline,test,0.47,840,782,697,85,143,0.8913043478260869,0.8297619047619048,0.8594327990135634,20,9,0.6896551724137931,82,32,0.7192982456140351,102,41,0.7132867132867133,0.8536585365853658
baseline,test,0.48,840,776,695,81,145,0.895618556701031,0.8273809523809523,0.860148514851485,20,9,0.6896551724137931,82,32,0.7192982456140351,102,41,0.7132867132867133,0.8507890961262554
