epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,652.866,1.10298,0.17507,1.39876,0.82276,0.70974,0.79582,0.46037,1.32996,0.18393,1.7033,0.0005496,0.0005496,0.0005496
66,662.368,1.08988,0.17454,1.4082,0.82269,0.74354,0.80601,0.45701,1.34783,0.18148,1.72166,0.00053475,0.00053475,0.00053475
67,671.768,1.12564,0.1734,1.40169,0.81438,0.73778,0.80234,0.46456,1.32308,0.17942,1.68723,0.0005199,0.0005199,0.0005199
68,680.731,1.10464,0.17272,1.39444,0.81602,0.74505,0.79853,0.45876,1.35872,0.18324,1.74616,0.00050505,0.00050505,0.00050505
69,689.7,1.07462,0.16985,1.38323,0.83435,0.7384,0.79807,0.45683,1.34899,0.18286,1.72569,0.0004902,0.0004902,0.0004902
70,698.899,1.07245,0.17022,1.38272,0.81845,0.74284,0.8112,0.47396,1.32323,0.18092,1.69441,0.00047535,0.00047535,0.00047535
71,707.997,1.09783,0.1724,1.39873,0.82263,0.75741,0.81499,0.47196,1.32787,0.17749,1.71244,0.0004605,0.0004605,0.0004605
72,717.316,1.07266,0.169,1.37752,0.83961,0.74406,0.80695,0.47185,1.33782,0.17822,1.6938,0.00044565,0.00044565,0.00044565
73,725.567,1.08488,0.17011,1.37484,0.83397,0.74007,0.81082,0.4735,1.31985,0.17709,1.69061,0.0004308,0.0004308,0.0004308
74,733.663,1.08717,0.16826,1.37543,0.8359,0.73265,0.80478,0.46747,1.33941,0.17888,1.71941,0.00041595,0.00041595,0.00041595
75,742.625,1.075,0.16743,1.37474,0.83048,0.75,0.8093,0.46939,1.31581,0.17894,1.69139,0.0004011,0.0004011,0.0004011
76,751.606,1.06739,0.1684,1.37446,0.81669,0.73413,0.80594,0.46972,1.29183,0.18216,1.67157,0.00038625,0.00038625,0.00038625
77,760.613,1.07547,0.1699,1.37735,0.81172,0.76019,0.81186,0.47615,1.31069,0.17996,1.69893,0.0003714,0.0003714,0.0003714
78,769.741,1.05891,0.16669,1.37072,0.80855,0.73694,0.80864,0.46731,1.32805,0.1799,1.70823,0.00035655,0.00035655,0.00035655
79,778.84,1.05354,0.16042,1.35094,0.82076,0.74544,0.80835,0.46737,1.32168,0.17428,1.70023,0.0003417,0.0003417,0.0003417
80,787.849,1.0611,0.16462,1.35682,0.82227,0.73865,0.80741,0.47291,1.33188,0.17533,1.71117,0.00032685,0.00032685,0.00032685
81,796.839,1.05368,0.15806,1.35315,0.82698,0.74488,0.81069,0.4764,1.3049,0.17535,1.68577,0.000312,0.000312,0.000312
82,805.91,1.03957,0.16056,1.34629,0.83998,0.7438,0.81235,0.46615,1.32132,0.18013,1.69067,0.00029715,0.00029715,0.00029715
83,815.161,1.06448,0.16093,1.35324,0.83933,0.72898,0.8038,0.46289,1.32168,0.18028,1.69138,0.0002823,0.0002823,0.0002823
84,824.162,1.04952,0.1605,1.35245,0.8317,0.75158,0.81215,0.4707,1.33015,0.17576,1.70996,0.00026745,0.00026745,0.00026745
85,833.432,1.02637,0.16081,1.35289,0.8238,0.76352,0.81813,0.47259,1.33191,0.17417,1.70951,0.0002526,0.0002526,0.0002526
86,842.548,1.05197,0.15949,1.35081,0.8264,0.74279,0.81212,0.46688,1.3242,0.17635,1.70687,0.00023775,0.00023775,0.00023775
